	ref	regest	Regest Text	reg Name	type	observance	fn role	Events ref	regest date	from	to	year	fromyear	toyear
0	org__wien	1482	Bürgermeister, Richter und Rath hie ze Wienn	Wien	Stadt	 	recipient	#ev__QGW_II_I_1482	1401-01-19			1401		
1	org__st_stephan	1484	sand Jacob auf Unser Vraun altar	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
2	org__st_stephan	1484	Stephan ze Wienne	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
3	org__dominikaner	1484	den Predigern	Dominikaner	Kloster_m	OP	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
4	org__augustinereremiten	1484	den Augustinern	Augustinereremiten	Kloster_m	OESA	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
5	org__karmeliter	1484	den Weissenprüdern	Karmeliter-Weissenbrüder	Kloster_m	OCarm	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
6	org__st_johannes_in_der_siechenals	1484	sand Johanns in der Siechen Alz/zz/z	St. Johannes in der Siechenals	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
7	org__st_lazarus_siechenhaus	1484	sand Marx	"St. Lazarus-Siechenhaus (St.
       Marx)"	Spital_Siechenhaus	 	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
8	org__st_hiob_zum_klagbaum	1484	dem Chlagpaum	St. Hiob-zum Klagbaum	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
9	org__buergerspital	1484	bürger Spital	Bürgerspital	Spital_Siechenhaus	 	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
10	org__st_jakob_auf_der_huelben	1484	sand Jacob	St. Jakob-auf der Hülben	Kloster_f	CanReg	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
11	org__st_hieronymus	1484	sand Hieronymus	 	Kloster_f	OSMM	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
12	org__st_stephan	1484	Todtenbuch bei S. Stephan	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
13	org__st_stephan	1484	achtherren hinz sand Stephan	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
14	org__st_jakob_auf_der_huelben	1484	S. Jakob	St. Jakob-auf der Hülben	Kloster_f	CanReg	recipient	#ev__QGW_II_I_1484	1401-02-17			1401		
15	org__wien	1485	Bürgermeister, Richter und Rathe der Stadt zu Wien	Wien	Stadt	 	recipient	#ev__QGW_II_I_1485	1401-03-25			1401		
16	org__st_peter	1486	sand Peter ze Wienn	S. Peter (I. Bezirk)	Kirche_Kapelle	 	None	#ev__QGW_II_I_1486_a	1401-04-24			1401		
17	org__st_peter	1486	Messe	S. Peter (I. Bezirk)	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1486_b	1401-04-24			1401		
18	org__antiochia_dioezese	1487	Antiochia	 	Dioezese_Erzdioezese	 	None	#ev__QGW_II_I_1487	1401-04-25			1401		
19	org__st_peter_wissegard	1487	Wissehrader Kirche	 	Kirche_Kapelle	 	None	#ev__QGW_II_I_1487	1401-04-25			1401		
20	org__nalb_pfarre	1487	Pfarrkirche in Neliv, Pataviensis diocesis	 	Pfarre	 	None	#ev__QGW_II_I_1487	1401-04-25			1401		
21	org__prag_dioezese	1487	Pragensis diocesis	 	Dioezese_Erzdioezese	 	None	#ev__QGW_II_I_1487	1401-04-25			1401		
22	org__wien	1488	rat gemain der stat ze Wienn	Wien	Stadt	 	None	#ev__QGW_II_I_1488	1401-04-28			1401		
23	org__wien	1488	stat ze Wienn	Wien	Stadt	 	witness	#ev__QGW_II_I_1488	1401-04-28			1401		
24	org__buergerspital	1489	purger Spital vor Chêrnertor ze Wienn	Bürgerspital	Spital_Siechenhaus	 	None	#ev__QGW_II_I_1489	1401-06-22			1401		
25	org__st_niklas_vor_dem_stubentor	1490	geistleichen frown dacz sand Niclas var Stubentar ze Wienn	St. Niklas-vor dem Stubentor	Kloster_f	OCist	None	#ev__QGW_II_I_1490	1401-07-09			1401		
26	org__wien	1491	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1491	1401-08-04			1401		
27	org__antiochia_dioezese	1492	Antiochia	 	Dioezese_Erzdioezese	 	None	#ev__QGW_II_I_1487	1401-08-10			1401		
28	org__st_peter_wissegard	1492	Wissehrader Kirche	 	Kirche_Kapelle	 	None	#ev__QGW_II_I_1487	1401-08-10			1401		
29	org__nalb_pfarre	1492	Pfarrkirche in Neliv Nalib B.)	 	Pfarre	 	None	#ev__QGW_II_I_1487	1401-08-10			1401		
30	org__wien	1495	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1495	1401-09-20			1401		
31	org__wien	1495	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1495	1401-09-20			1401		
32	org__wien	1497	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1497	1401-11-15			1401		
33	org__wien	1497	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1497	1401-11-15			1401		
34	org__st_stephan	1498	sand Steffan ze Wienn	St. Stephan	Kirche_Kapelle	 	None	#ev__QGW_II_I_1498	1401-12-14			1401		
35	org__st_niklas_vor_dem_stubentor	1500	sand Niclas vor Stubentor ze Wienn	St. Niklas-vor dem Stubentor	Kloster_f	OCist	None	#ev__QGW_II_I_1500	1402-01-13			1402		
36	org__st_niklas_vor_dem_stubentor	1500	convent gemain daselbigs	St. Niklas-vor dem Stubentor	Kloster_f	OCist	issuer	#ev__QGW_II_I_1500	1402-01-13			1402		
37	org__st_niklas_vor_dem_stubentor	1500	Aussteller	St. Niklas-vor dem Stubentor	Kloster_f	OCist	witness	#ev__QGW_II_I_1500	1402-01-13			1402		
38	org__st_niklas_kapelle	1501	kapellen, gehaissen dacz dem Alten sand Niclas in der Lantstrass zu Wienn	 	Kirche_Kapelle	 	None	#ev__QGW_II_I_1501	1402-01-13			1402		
39	org__wien	1502	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1502	1402-01-17			1402		
40	org__wien	1502	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1502	1402-01-17			1402		
41	org__wien	1503	dem Bürgermeister, Richter und Rathe der Stadt zu Wien	Wien	Stadt	 	recipient	#ev__QGW_II_I_1503	1402-01-20			1402		
42	org__wien	1504	Bürgermeister und Rath zu Wien	Wien	Stadt	 	recipient	#ev__QGW_II_I_1504	1402-02-12			1402		
