	ref	Regest Text	reg Name	Sex	Titles	Titles norm	Titles ref	Titles ref norm	Professions	Professions norm	staff	staff norm	off	off norm	fn role	Events ref	regest	regest date	from	to	dead	earliest possible death	year	fromyear	toyear
0	pe__wilhelm_herzog_von_oesterreich	Herzog Wilhalm	Herzog Wilhelm	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1482	1482	1401-01-19			False	 	1401		
1	pe__heinrich_egelhaimer_QGW_II_I_1482	saumerkneeht Hainreichen dem Egelhaimer	Heinrich Egelhaimer	m	 	 	 	 	 	 	saumerkneeht	Saumknecht	 	 	recipient	#ev__QGW_II_I_1482	1482	1401-01-19			False	 	1401		
2	pe__haunold_schuchler_II_QGW_II_I_1557	Haunolt der Schu/eechler, statrichter ze Wienn	Haunold Schuchler der Jüngere II	m	 	 	 	 	 	 	 	 	statrichter	Richter_Stadt	issuer	#ev__QGW_II_I_1483	1483	1401-01-28			False	 	1401		
3	pe__margarethe_QGW_II_I_1483	frau Margret, die paternustrerin	Margarethe die paternosterin	f	frau	Frau	 	 	 	 	 	 	 	 	other	#ev__QGW_II_I_1483	1483	1401-01-28			False	 	1401		
4	pe__ulrich_slaffer_QGW_II_I_1483	Ulreichen dem Slaffer	Ulrich Slaffer	m	 	 	 	 	 	 	 	 	 	 	other	#ev__QGW_II_I_1483	1483	1401-01-28			False	 	1401		
5	pe__haunold_schuchler_II_QGW_II_I_1557	Aussteller	Haunold Schuchler der Jüngere II	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1483	1483	1401-01-28			False	 	1401		
6	pe__peter_egelseber	Peter der Egelseber, der riemer purger ze Wienn	Peter Egelseber der Egelseber	m	purger ze Wienn	Buerger_in	 	 	riemer	Riemer	 	 	 	 	issuer	#ev__QGW_II_I_1484	1484	1401-02-17			False	 	1401		
7	pe__agnes_QGW_II_I_1484	Frau Agnesen	Agnes Egelseber Gem. Peter Egelseber	f	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1484	1484	1401-02-17			False	 	1401		
8	pe__margarethe_QGW_II_I_1484	Muhmen junkfraun Margreten	Margarethe	f	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1484	1484	1401-02-17			False	 	1401		
9	pe__anna_QGW_II_I_1484	Muhme swester Annen	Anna	f	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1484	1484	1401-02-17			False	 	1401		
10	pe__niklas_pipping	Niclasen dem Pipping	Niklas Pipping	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1484	1484	1401-02-17			False	 	1401		
11	pe__niklas_QGW_II_I_1484	Beichtiger Niclasen, des sneider sun,	Niklas des schneiders Sohn	m	 	 	 	 	 	 	 	 	Beichtiger	Beichtvater	recipient	#ev__QGW_II_I_1484	1484	1401-02-17			False	 	1401		
12	pe__niklas_weiss	Geschäftsherren als welche er Niclasen den Weissen	Niklas Weiss	m	 	 	 	 	 	 	 	 	Geschäftsherren	Geschaeftsherr	recipient	#ev__QGW_II_I_1484	1484	1401-02-17			False	 	1401		
13	pe__konrad_hainpekch	Geschäftsherren Chunraten den Hainspekchen	Konrad Hainpekch	m	 	 	 	 	 	 	 	 	Geschäftsherren	Geschaeftsherr	recipient	#ev__QGW_II_I_1484	1484	1401-02-17			False	 	1401		
14	pe__friedrich_dietram	Wiener Bürger Fridreichs des Dietrams	Friedrich Dietram Dietram	m	Wiener Bürger	Buerger_in	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1484	1484	1401-02-17			False	 	1401		
15	pe__michael_menschein	Wiener Bürger Michels des Mênscheins	Michael Menschein Menschein	m	Wiener Bürger	Buerger_in	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1484	1484	1401-02-17			False	 	1401		
16	pe__berthold_von_ellerbach_QGW_II_I_1485	Perichtolt von Ellerbach	Berthold von Ellerbach	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1485	1485	1401-03-25			False	 	1401		
17	pe__berthold_von_ellerbach_QGW_II_I_1485	Ausstellers	Berthold von Ellerbach	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1485	1485	1401-03-25			False	 	1401		
18	pe__burkhard_von_winden_QGW_II_I_1485	hern Purkcharts von Winden	Burkhard von Winden	m	hern	Herr	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1485	1485	1401-03-25			False	 	1401		
19	pe__simon_pairstetter	Simeon der Payrsteter, pharrer dacz sand Peter ze Wienn	Simon Pairstetter Pairstetter	m	 	 	 	 	 	 	 	 	pharrer	Pfarrer	issuer	#ev__QGW_II_I_1486_a	1486	1401-04-24			False	 	1401		
20	pe__konrad_vorlauf	Chunrat der Vorlauf, des rates der stat daselbs	Konrad Vorlauf Vorlauf	m	 	 	 	 	 	 	 	 	rates der stat daselbs	Ratsherr	issuer	#ev__QGW_II_I_1486_a	1486	1401-04-24			False	 	1401		
21	pe__ulrich_ekprecht	Ulreich der Ekkprecht bürger ze Wienn	Ulrich Ekprecht	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1486_a	1486	1401-04-24			False	 	1401		
22	pe__johann_von_ofen	Hanns von Ofen, bürger ze Wienn	Johann von Ofen von Ofen	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1486_a	1486	1401-04-24			False	 	1401		
23	pe__simon_pairstetter	Simeon der Payrsteter, pharrer dacz sand Peter ze Wienn	Simon Pairstetter Pairstetter	m	 	 	 	 	 	 	 	 	pharrer	Pfarrer	issuer	#ev__QGW_II_I_1486_b	1486	1401-04-24			False	 	1401		
24	pe__konrad_vorlauf	Chunrat der Vorlauf, des rates der stat daselbs	Konrad Vorlauf Vorlauf	m	 	 	 	 	 	 	 	 	rates der stat daselbs	Ratsherr	issuer	#ev__QGW_II_I_1486_b	1486	1401-04-24			False	 	1401		
25	pe__ulrich_ekprecht	Ulreich der Ekkprecht bürger ze Wienn	Ulrich Ekprecht	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1486_b	1486	1401-04-24			False	 	1401		
26	pe__johann_von_ofen	Hanns von Ofen, bürger ze Wienn	Johann von Ofen von Ofen	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1486_b	1486	1401-04-24			False	 	1401		
27	pe__wenzel_QGW_II_I_1487	Patriarch von Antiochia königliche Kanzler und Propst der Wissehrader Kirche Wenceslaus	Wenzel	m	 	 	 	 	 	 	 	 	Patriarch; königliche Kanzler; Propst	Partriarch; Kanzler; Propst	issuer	#ev__QGW_II_I_1487	1487	1401-04-25			False	 	1401		
28	pe__albrecht_iii_herzog_von_oesterreich	Herzog Albrecht von Oesterreich	Albrecht III	m	 	 	 	 	 	 	 	 	 	 	other	#ev__QGW_II_I_1487	1487	1401-04-25			False	 	1401		
29	pe__bartholomaeus_wuerfel	Rectors derselben Bartholomeus dictus Würffel	Bartholomäus Würfel Würfel	m	 	 	 	 	 	 	 	 	Rectors	Rektor	recipient	#ev__QGW_II_I_1487	1487	1401-04-25			False	 	1401		
30	pe__wenzel_QGW_II_I_1487	Propstes	Wenzel	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1487	1487	1401-04-25			False	 	1401		
