;ref;type;text;anzahl;xml;year
0;#org__wien;Stadt;Bürgermeister, Richter und Rath hie ze Wienn;75;1482.xml, 1485.xml, 1488.xml, 1491.xml, 1495.xml, 1497.xml, 1502.xml, 1503.xml, 1504.xml, 1509.xml, 1510.xml, 1513.xml, 1515.xml, 1516.xml, 1520.xml, 1522.xml, 1525.xml, 1529.xml, 1530.xml, 1532.xml, 1533.xml, 1535.xml, 1542.xml, 1547.xml, 1548.xml, 1550.xml, 1551.xml, 1555.xml, 1556.xml, 1562.xml, 1570.xml, 1575.xml, 1578.xml, 1579.xml, 1580.xml, 1592.xml, 1594.xml, 1596.xml, 1597.xml, 1598.xml, 1603.xml, 1605.xml, 1606.xml;1401, 1401, 1401, 1401, 1401, 1401, 1401, 1401, 1401, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404
1;#org__st_stephan;Kirche_Kapelle;sand Jacob auf Unser Vraun altar;24;1484.xml, 1498.xml, 1508.xml, 1510.xml, 1515.xml, 1517.xml, 1531.xml, 1533.xml, 1539.xml, 1550.xml, 1552.xml, 1560.xml, 1565.xml, 1567.xml, 1569.xml, 1579.xml, 1597.xml, 1607.xml;1401, 1401, 1401, 1401, 1401, 1402, 1402, 1402, 1402, 1402, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1404, 1404, 1404, 1404, 1404
2;#org__dominikaner;Kloster_m;den Predigern;2;1484.xml, 1560.xml;1401, 1403
3;#org__augustinereremiten;Kloster_m;den Augustinern;2;1484.xml, 1560.xml;1401, 1403
4;#org__karmeliter;Kloster_m;den Weissenprüdern;7;1484.xml, 1524.xml, 1545.xml;1401, 1403, 1403, 1403, 1403, 1403, 1403
5;#org__st_johannes_in_der_siechenals;Kirche_Kapelle;sand Johanns in der Siechen Alz/zz/z;2;1484.xml, 1560.xml;1401, 1403
6;#org__st_lazarus_siechenhaus;Spital_Siechenhaus;sand Marx;2;1484.xml, 1560.xml;1401, 1403
7;#org__st_hiob_zum_klagbaum;Kirche_Kapelle;dem Chlagpaum;2;1484.xml, 1560.xml;1401, 1403
8;#org__buergerspital;Spital_Siechenhaus;bürger Spital;8;1484.xml, 1489.xml, 1508.xml, 1513.xml, 1560.xml, 1573.xml;1401, 1401, 1402, 1402, 1402, 1403, 1404, 1404
9;#org__st_jakob_auf_der_huelben;Kloster_f;sand Jacob;3;1484.xml, 1560.xml;1401, 1401, 1403
