	PersName	sex	number	xml	year
0	#pe__haunold_schuchler_II_QGW_II_I_1557	m	24	1483.xml, 1495.xml, 1522.xml, 1525.xml, 1530.xml, 1532.xml, 1533.xml, 1535.xml, 1542.xml, 1547.xml, 1548.xml, 1550.xml, 1555.xml, 1556.xml, 1562.xml, 1577.xml, 1584.xml, 1589.xml, 1595.xml, 1596.xml	1401, 1401, 1401, 1402, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1404, 1404, 1404, 1404, 1404, 1404, 1404
1	#pe__peter_angerfelder	m	17	1523.xml, 1526.xml, 1536.xml, 1543.xml, 1591.xml, 1596.xml, 1599.xml, 1600.xml, 1601.xml, 1602.xml	1403, 1403, 1403, 1403, 1403, 1403, 1403, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404
2	#pe__konrad_vorlauf	m	16	1486.xml, 1541.xml, 1542 a.xml, 1564.xml, 1570.xml, 1575.xml, 1579.xml, 1592.xml, 1595.xml, 1596.xml, 1597.xml, 1598.xml, 1603.xml	1401, 1401, 1403, 1403, 1403, 1403, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404, 1404
3	#pe__paul_wuerfel	m	12	1497.xml, 1502.xml, 1509.xml, 1513.xml, 1516.xml, 1529.xml, 1534.xml, 1556.xml, 1565.xml, 1569.xml, 1606.xml, 1609.xml	1401, 1402, 1402, 1402, 1402, 1403, 1403, 1403, 1403, 1404, 1404, 1404
4	#pe__wilhelm_herzog_von_oesterreich	m	10	1482.xml, 1489.xml, 1536.xml, 1542 a.xml, 1551.xml, 1578.xml, 1588.xml, 1595.xml, 1596.xml, 1605.xml	1401, 1401, 1403, 1403, 1403, 1404, 1404, 1404, 1404, 1404
5	#pe__martin_hausleitter	m	10	1511.xml, 1517.xml, 1557.xml, 1564.xml, 1586.xml, 1603.xml, 1609.xml	1402, 1402, 1402, 1403, 1403, 1403, 1404, 1404, 1404, 1404
6	#pe__rudolf_von_tierna	m	10	1533.xml, 1542 a.xml, 1549.xml, 1552.xml, 1565.xml	1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403, 1403
7	#pe__ulrich_herwart	m	9	1496.xml, 1502.xml, 1508.xml, 1510.xml, 1516.xml, 1530.xml, 1540.xml, 1547.xml, 1586.xml	1401, 1402, 1402, 1402, 1402, 1403, 1403, 1403, 1404
8	#pe__georg_von_nikolsburg	m	8	1503.xml, 1540.xml, 1550.xml, 1574.xml, 1575.xml, 1606.xml, 1607.xml	1402, 1403, 1403, 1404, 1404, 1404, 1404, 1404
9	#pe__johann_ziernast	m	8	1507.xml, 1508.xml, 1560.xml, 1573.xml, 1587.xml, 1597.xml	1402, 1402, 1402, 1403, 1404, 1404, 1404, 1404
10	#pe__andreas_an_dem_st_petersfreithof	m	7	1498.xml, 1546.xml, 1595.xml, 1596.xml	1401, 1401, 1403, 1403, 1404, 1404, 1404
11	#pe__konrad_rampersdorfer	m	7	1498.xml, 1507.xml, 1521.xml, 1527.xml, 1587.xml	1401, 1402, 1402, 1402, 1402, 1403, 1404
12	#pe__georg_neuer	m	6	1490.xml, 1523.xml, 1548.xml, 1566.xml, 1598.xml	1401, 1403, 1403, 1403, 1403, 1404
13	#pe__ludwig_von_tierna	m	6	1533.xml, 1549.xml, 1565.xml	1403, 1403, 1403, 1403, 1403, 1403
14	#pe__ulrich_ekprecht	m	5	1486.xml, 1582.xml, 1587.xml	1401, 1401, 1404, 1404, 1404
15	#pe__herbert_in_der_scheffstraße	m	5	1494.xml, 1542.xml, 1554.xml	1401, 1401, 1403, 1403, 1403
16	#pe__ulrich_warnhofer_QGW_II_I_1538	m	5	1496.xml, 1507.xml, 1538.xml, 1585.xml, 1589.xml	1401, 1402, 1403, 1404, 1404
17	#pe__peter_der_zimmermann_QGW_II_I_1538	m	5	1496.xml, 1507.xml, 1538.xml, 1585.xml, 1589.xml	1401, 1402, 1403, 1404, 1404
18	#pe__dorothea_QGW_II_I_1499	f	5	1499.xml, 1526.xml, 1535.xml	1401, 1401, 1403, 1403, 1403
19	#pe__rudolf_angerfelder	m	5	1589.xml, 1595.xml, 1596.xml	1404, 1404, 1404, 1404, 1404
20	#pe__friedrich_dietram	m	4	1484.xml, 1495.xml, 1546.xml, 1563.xml	1401, 1401, 1403, 1403
21	#pe__albrecht_iii_herzog_von_oesterreich	m	4	1487.xml, 1492.xml, 1494.xml, 1542 a.xml	1401, 1401, 1401, 1403
22	#pe__albrecht_iv_herzog_von_oesterreich	m	4	1489.xml, 1504.xml, 1590.xml	1401, 1401, 1402, 1404
23	#pe__martin_der_wachsgiesser_QGW_II_I_1494	m	4	1494.xml, 1551.xml, 1594.xml	1401, 1403, 1404, 1404
24	#pe__margarethe_chranvogelin	f	4	1495.xml, 1534.xml, 1539.xml, 1568.xml	1401, 1403, 1403, 1404
25	#pe__niklas_wasservogel_QGW_II_I_1499	m	4	1499.xml, 1526.xml, 1535.xml	1401, 1403, 1403, 1403
