	off	normed	Person	Related Person	Regest	Year	Date	from	to
0	statrichter	Richter_Stadt	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1483	1401	1401-01-28		
1	Beichtiger	Beichtvater	pe__niklas_QGW_II_I_1484	pe__peter_egelseber	1484	1401	1401-02-17		
2	Geschäftsherren	Geschaeftsherr	pe__niklas_weiss	pe__peter_egelseber	1484	1401	1401-02-17		
3	Geschäftsherren	Geschaeftsherr	pe__konrad_hainpekch	pe__peter_egelseber	1484	1401	1401-02-17		
4	pharrer	Pfarrer	pe__simon_pairstetter	org__st_peter	1486	1401	1401-04-24		
5	rates der stat daselbs	Ratsherr	pe__konrad_vorlauf	org__wien	1486	1401	1401-04-24		
6	pharrer	Pfarrer	pe__simon_pairstetter	org__st_peter	1486	1401	1401-04-24		
7	rates der stat daselbs	Ratsherr	pe__konrad_vorlauf	org__wien	1486	1401	1401-04-24		
8	Patriarch	Partriarch	pe__wenzel_QGW_II_I_1487	org__antiochia_dioezese	1487	1401	1401-04-25		
9	königliche Kanzler	Kanzler	pe__wenzel_QGW_II_I_1487	pe__ruprecht_von_der_pfalz	1487	1401	1401-04-25		
10	Propst	Propst	pe__wenzel_QGW_II_I_1487	org__st_peter_wissegard	1487	1401	1401-04-25		
11	Rectors	Rektor	pe__bartholomaeus_wuerfel	org__nalb_pfarre	1487	1401	1401-04-25		
12	clericus	Kleriker	pe__johann_wlassivis	org__nalb_pfarre	1487	1401	1401-04-25		
13	publicus apostolica	publicus apostolica	pe__johann_wlassivis	org__vatikan	1487	1401	1401-04-25		
14	imperiali auctoritate notarius	Notar	pe__johann_wlassivis	org__heilige_roemische_reich	1487	1401	1401-04-25		
15	burgermaister	Buergermeister	pe__berthold_lang_QGW_II_I_1488	org__wien	1488	1401	1401-04-28		
16	schrannschreiber	Schrannenschreiber	pe__ulrich_der_schrannschreiber_QGW_II_I_1488	org__wien	1488	1401	1401-04-28		
17	caplan	Kaplan	pe__simon_rorer_von_hebersdorf	org__buergerspital	1489	1401	1401-06-22		
18	ausrichter und volfu/erer des geschefts	Geschaeftsherr	pe__simon_rorer_von_hebersdorf	pe__johann_chienast	1489	1401	1401-06-22		
19	perigmaister	Bergmeister	pe__christian_duerr	pe__albrecht_iv_herzog_von_oesterreich	1489	1401	1401-06-22		
