	ID	text	reg_name	sex	titles	titles_norm	titles_ref	titles_ref_norm	prof	prof_norm	staff	staff_norm	off	off_norm	fn_role	event_ref	xml	date	from	to	dead	earliest possible death	year	fromyear	toyear
0	pe__andreas_vischel_SB_CD_00054	Andre Vischel	Andreas Vischel	m	 	 	 	 	 	 	 	 	 	 	issuer	ev__SB_CD_00054	00054-eintrag_vom_1448-06-10.xml	1448-06-10			False	 	1448		
1	pe__barbara_SB_CD_00054	Barbara sein hausfrau	Barbara Vischel	f	 	 	 	 	 	 	 	 	 	 	issuer	ev__SB_CD_00054	00054-eintrag_vom_1448-06-10.xml	1448-06-10			False	 	1448		
2	pe__stephan_imbrung_SB_CD_00054	Stephans Imbrung des kramer	Stephan Imbrung der Kramer	m	 	 	 	 	kramer	 	 	 	 	 	None	ev__SB_CD_00054	00054-eintrag_vom_1448-06-10.xml	1448-06-10			False	 	1448		
3	pe__simon_pirkwicz_SB_CD_00054	hern Symon Pirkwicz caplan der Heiligen dreir Kunig altar zu der Himlporten	Simon Pirkwicz	m	hern	Herr	 	 	 	 	 	 	caplan	Kaplan	recipient	ev__SB_CD_00054	00054-eintrag_vom_1448-06-10.xml	1448-06-10			False	 	1448		
4	pe__andreas_hiltprant_QGW_II_II_2576	erbern weisen Andren Hiltprant diezeit des rats der stat ze Wienn	Andreas Hiltprant	m	erbern; weisen	ehrbar; weise	 	 	 	 	 	 	rats	Ratsherr	recipient	ev__SB_CD_00054	00054-eintrag_vom_1448-06-10.xml	1448-06-10			False	 	1448		
5	pe__agathe_SB_CD_00055	Agatha Lucasen Hulber hausfrau	Agathe Hulber	f	 	 	 	 	 	 	 	 	 	 	issuer	ev__SB_CD_00055	00055-eintrag_vom_1448-06-21.xml	1448-06-21			False	 	1448		
6	pe__lukas_hulber_QGW_II_II_2796	Lucasen Hulber	Lukas Hulber	m	 	 	 	 	 	 	 	 	 	 	None	ev__SB_CD_00055	00055-eintrag_vom_1448-06-21.xml	1448-06-21			False	 	1448		
7	pe__michael_stadl_SB_CD_00055	Micheln Stadl	Michael Stadl	m	 	 	 	 	 	 	 	 	 	 	None	ev__SB_CD_00055	00055-eintrag_vom_1448-06-21.xml	1448-06-21			False	 	1448		
8	pe__wolfgang_winter_SB_CD_00055	erbern Wolfgangen Wintter, burger zu Núrnberg	Wolfgang Winter	m	erbern	ehrbar	 	 	 	 	 	 	 	 	recipient	ev__SB_CD_00055	00055-eintrag_vom_1448-06-21.xml	1448-06-21			False	 	1448		
9	pe__georg_leinburger_SB_CD_00056	Jörgen Leinburger des apoteker	Georg Leinburger der Apotheker	m	 	 	 	 	apoteker	Apotheker	 	 	 	 	None	ev__SB_CD_00056	00056-eintrag_vom_1448-08-09.xml	1448-08-09			False	 	1448		
