	xml	date	event	catchwords
0	00054-eintrag_vom_1448-06-10.xml	1448-06-10	ev__SB_CD_00054	habent versaczt | jerlich dint | zu purkrecht
1	00054-eintrag_vom_1448-06-10.xml	1448-06-10	ev__haus_huehnergesslein_1_burgrecht_1	jerlich dint | zu purkrecht
2	00055-eintrag_vom_1448-06-21.xml	1448-06-21	ev__SB_CD_00055	hat versaczt | in kauffweis an sey komen sind
3	00055-eintrag_vom_1448-06-21.xml	1448-06-21	ev__haus_alter_fleischmarkt_1_verkauf_1	in kauffweis an sey komen sind
4	00056-eintrag_vom_1448-08-09.xml	1448-08-09	ev__SB_CD_00056	hat versaczt die ubertewrung
5	00156-eintrag_vom_1448-12-13.xml	1448-12-13	ev__SB_CD_00156	hat versaczt
6	00156-eintrag_vom_1448-12-13.xml	1448-12-13	ev__SB_CD_00156	ledig gesagt
7	00226-eintrag_vom_1448-02-23.xml	1448-02-23	ev__SB_CD_00226	habent versaczt
8	00227-eintrag_vom_1448-03-06.xml	1448-03-06	ev__SB_CD_00227	habent versaczt
9	00228-eintrag_vom_1448-04-22.xml	1448-04-22	ev__SB_CD_00228	habent versaczt
10	00229-eintrag_vom_1448-05-27.xml	1448-05-27	ev__SB_CD_00229	hat versaczt | jerlich dint | zu purkrecht
11	00229-eintrag_vom_1448-05-27.xml	1448-05-27	NULL	jerlich dint | zu purkrecht
12	00230-eintrag_vom_1448-11-20.xml	1448-11-20	ev__SB_CD_00230	habent versaczt
13	00231-eintrag_vom_1448-09-20.xml	1448-09-20	ev__SB_CD_00231	hat | verchaufft | von der merklichen geltschuld wegen | gelts purkrechts
14	00299-eintrag_vom_1448-07-08.xml	1448-07-08	ev__SB_CD_00299	hat versaczt | jerlich dint | nach lautt ains saczbriefs | jerlich dint | zu purkrecht
15	00299-eintrag_vom_1448-07-08.xml	1448-07-08	NULL	jerlich dint | nach lautt ains saczbriefs
16	00299-eintrag_vom_1448-07-08.xml	1448-07-08	NULL	jerlich dint | zu purkrecht
17	00300-eintrag_vom_1448-08-05.xml	1448-08-05	ev__QGW_II_II_3264	hat verchaufft | gelts purkrechts | jerlich dint | zu purkrecht
18	00300-eintrag_vom_1448-08-05.xml	1448-08-05	NULL	jerlich dint | zu purkrecht
19	00349-eintrag_vom_1448-02-22.xml	1448-02-22	ev__SB_CD_00349	hat versaczt | jérlich dint | zu purkrecht
20	00349-eintrag_vom_1448-02-22.xml	1448-02-22	NULL	jérlich dint | zu purkrecht
21	00351-eintrag_vom_1448-11-29.xml	1448-11-29	ev__SB_CD_00351	hat versatzt
22	00406-eintrag_vom_1448-05-31.xml	1448-05-31	ev__SB_CD_00406	hat versaczt
23	00604-eintrag_vom_1448-02-24.xml	1448-02-24	ev__SB_CD_00604	hat versaczt | alle jar dint | zu purkrecht | so dint | alle jar | zu purkrecht
24	00604-eintrag_vom_1448-02-24.xml	1448-02-24	NULL	alle jar dint | zu purkrecht
25	00604-eintrag_vom_1448-02-24.xml	1448-02-24	NULL	so dint | alle jar | zu purkrecht
26	00605-eintrag_vom_1448-03-04.xml	1448-03-04	ev__SB_CD_00605	hat versaczt | jérlich dint | zu purkrecht
27	00605-eintrag_vom_1448-03-04.xml	1448-03-04	NULL	jérlich dint | zu purkrecht
28	00606-eintrag_vom_1448-04-03.xml	1448-04-03	ev__SB_CD_00606	hat versaczt | jerlich dint | zu purkrecht
29	00606-eintrag_vom_1448-04-03.xml	1448-04-03	ev__SB_CD_00606_men_1	jerlich dint | zu purkrecht
30	00607-eintrag_vom_1448-03-13.xml	1448-03-13	ev__SB_CD_00607	habent verchaufft | geltz purkrechts
31	00608-eintrag_vom_1448-04-29.xml	1448-04-29	ev__SB_CD_00608	habent verchaufft | gelts purkrechts | mit kauff an sy komen ist | jerlich dint | zu purkrecht
32	00608-eintrag_vom_1448-04-29.xml	1448-04-29	NULL	mit kauff an sy komen ist
33	00608-eintrag_vom_1448-04-29.xml	1448-04-29	ev__SB_CD_00608_men_1	jerlich dint | zu purkrecht
34	00609-eintrag_vom_1448-05-06.xml	1448-05-06	ev__SB_CD_00609	hat versaczt
35	00610-eintrag_vom_1448-05-29.xml	1448-05-29	ev__SB_CD_00610	habent verchaufft | gelts purkrechts
36	00611-eintrag_vom_1448-06-21.xml	1448-06-21	ev__SB_CD_00612	habent versaczt
37	00612-eintrag_vom_1448-07-10.xml	1448-07-10	ev__SB_CD_00612	hat verchaufft | gelts purkrechts
38	00613-eintrag_vom_1448-07-17.xml	1448-07-17	ev__SB_CD_00613	habent verchaufft | gelts purkrechts | jerlich dint | zu purkrecht | jerlich dint | zu purkrecht | sind emalen gelegen gewesen
39	00613-eintrag_vom_1448-07-17.xml	1448-07-17	ev__SB_CD_00608_men_1	jerlich dint | zu purkrecht
40	00613-eintrag_vom_1448-07-17.xml	1448-07-17	ev__SB_CD_00608	jerlich dint | zu purkrecht
41	00613-eintrag_vom_1448-07-17.xml	1448-07-17	NULL	sind emalen gelegen gewesen
42	00614-eintrag_vom_1448-07-29.xml	1448-07-29	ev__SB_CD_00614	hat versaczt
43	00616-eintrag_vom_1448-07-19.xml	1448-07-19	ev__SB_CD_00616	habent verchaufft | gelts purkrechts
44	00617-eintrag_vom_1448-08-26.xml	1448-08-26	ev__SB_CD_00617	hat versaczt
