	ID	name	sex	anzahl	xml	year
0	pe__heinrich_schachen_SB_CD_00350	Heinrich Schachen Schachner	m	1	00350-eintrag_vom_1448-04-10.xml	1448-04-10
1	pe__johann_oppenweiler_QGW_II_II_2579	Johann Oppenweiler von Hailprunn	m	1	00350-eintrag_vom_1448-04-10.xml	1448-04-10
2	pe__heinrich_frankch_QGW_II_II_2150	Heinrich Frankch	m	1	00056-eintrag_vom_1448-08-09.xml	1448-08-09
3	pe__johann_payr_schuster_QGW_II_II_3263	Johann Payr Payer Bayer der Schuster	m	1	00612-eintrag_vom_1448-07-10.xml	1448-07-10
4	pe__liebhard_weiss_SB_CD_00606	Liebhard Weiss	m	2	00606-eintrag_vom_1448-04-03.xml, 00614-eintrag_vom_1448-07-29.xml	1448-04-03, 1448-07-29
5	pe__anna_QGW_II_II_3679	Anna Smidpekch	f	1	00627-eintrag_vom_1448-12-20.xml	1448-12-20
6	pe__burkhard_kienberger_QGW_II_III_4957	Burkhard Kienberger	m	1	01841-eintrag_vom_1448-08-13.xml	1448-08-13
7	pe__stephan_hittendorffer_01926_SB_CD_01926	Stephan Hittendorffer der Peler	m	1	01926-eintrag_vom_1448-12-20.xml	1448-12-20
8	pe__wolfgang_QGW_II_II_3724	Wolfgang	m	1	00604-eintrag_vom_1448-02-24.xml	1448-02-24
9	pe__johann_zuchtig_SB_CD_00622	Johann Zuchtig	m	1	00622-eintrag_vom_1448-12-09.xml	1448-12-09
10	pe__klara_SB_CD_00228	Klara Strasburger Pittrolf	f	1	00228-eintrag_vom_1448-04-22.xml	1448-04-22
11	pe__johann_han_SB_CD_00617	Johann Han der Büchsenmeister puchsenmeister	m	1	00617-eintrag_vom_1448-08-26.xml	1448-08-26
12	pe__konrad_eggenfelder_SB_CD_00226	Konrad Chuncz Eggenfelder der Schmied	m	1	00226-eintrag_vom_1448-02-23.xml	1448-02-23
13	pe__michael_toller_SB_CD_01241	Michael Toller	m	1	01241-eintrag_vom_1448-06-21.xml	1448-06-21
14	pe__katharina_SB_CD_01239	Katharina Viregk	f	1	01239-eintrag_vom_1448-03-13.xml	1448-03-13
15	pe__michael_haffner_SB_CD_01242	Michael Haffner	m	1	01242-eintrag_vom_1448-11-15.xml	1448-11-15
16	pe__niklas_vaschang_SB_CD_01433	Niklas Vaschang	m	1	01433-eintrag_vom_1448-07-29.xml	1448-07-29
17	pe__georg_krumpp_SB_CD_00966	Georg Krumpp der Binder	m	1	00966-eintrag_vom_1448-06-07.xml	1448-06-07
18	pe__barbara_QGW_II_II_3482a	Barbara Phanczaglin	f	1	01146-eintrag_vom_1448-04-12.xml	1448-04-12
19	pe__peter_engelhartsstetter_QGW_II_II_3111	Peter Engelhartsstetter	m	1	00610-eintrag_vom_1448-05-29.xml	1448-05-29
20	pe__thomas_lang_SB_CD_00611	Thomas Lang	m	1	00611-eintrag_vom_1448-06-21.xml	1448-06-21
21	pe__niklas_legler_SB_CD_00406	Niklas Legler Lègler	m	1	00406-eintrag_vom_1448-05-31.xml	1448-05-31
22	pe__georg_zwettler_QGW_II_II_2927	Georg Zwettler der Eisenzieher hinter St. Pankraz	m	1	00969-eintrag_vom_1448-10-30.xml	1448-10-30
23	pe__wolfgang_winter_SB_CD_00055	Wolfgang Winter	m	1	00055-eintrag_vom_1448-06-21.xml	1448-06-21
24	pe__margarethe_SB_CD_00228	Margarethe von Tierna	f	1	00228-eintrag_vom_1448-04-22.xml	1448-04-22
