	place	name	text	relation	xml	date
0	pl__wien-immo_huehnergesslein_1	Andreas Vischel Haus	ír	pe__barbara_SB_CD_00054	00054-eintrag_vom_1448-06-10.xml	1448-06-10
1	pl__wien-immo_huehnergesslein_1	Andreas Vischel Haus	ir	pe__andreas_vischel_SB_CD_00054	00054-eintrag_vom_1448-06-10.xml	1448-06-10
2	pl__wien-immo_huehnergesslein_2	Stephan Imbrung Haus	Stephans Imbrung des	pe__stephan_imbrung_SB_CD_00054	00054-eintrag_vom_1448-06-10.xml	1448-06-10
3	pl__wien-immo_alter_fleischmarkt_1	Agatha Hulber dritt tail Haus vormals Micheln Stadl	ir	pe__agathe_SB_CD_00055	00055-eintrag_vom_1448-06-21.xml	1448-06-21
4	pl__wien-immo_wiltwerkerstrasse_3	Anna Leinburger Haus	irs	pe__anna_SB_CD_00056	00056-eintrag_vom_1448-08-09.xml	1448-08-09
5	pl__wien-immo_judengasse_am_neuen_platz_1	Berthold Mermann Haus	sein	pe__berthold_merman_SB_CD_00157	00156-eintrag_vom_1448-12-13.xml	1448-12-13
6	pl__wien-immo_judengasse_am_neuen_platz_2	Jacoben des Smalen Haus	Jacoben des Smalen	pe__jakob_smal_SB_CD_00156	00156-eintrag_vom_1448-12-13.xml	1448-12-13
7	pl__wien-immo_judengasse_am_neuen_platz_3	Erhart von Prag des peutler haus	Erharts von Prag des	pe__erhard_von_prag_SB_CD_00156	00156-eintrag_vom_1448-12-13.xml	1448-12-13
8	pl__wien-immo_neuer_markt_1	Konrad u. Brigitta Eggenfelder Haus	ir	pe__konrad_eggenfelder_SB_CD_00226	00226-eintrag_vom_1448-02-23.xml	1448-02-23
9	pl__wien-immo_neuer_markt_1	Konrad u. Brigitta Eggenfelder Haus	ir	pe__brigitta_SB_CD_00226	00226-eintrag_vom_1448-02-23.xml	1448-02-23
10	pl__wien-immo_neuer_markt_2	Thomas Kunter Haus	Thomans Kuntter	pe__thomas_kunter_SB_CD_00226	00226-eintrag_vom_1448-02-23.xml	1448-02-23
11	pl__wien-immo_weihenburg_1	genant der Alt TechanthofKonrad und Anna Schröfl HausJohann Kanstdorffer Haus	ir	pe__konrad_schrofl_SB_CD_00227	00227-eintrag_vom_1448-03-06.xml	1448-03-06
12	pl__wien-immo_weihenburg_1	genant der Alt TechanthofKonrad und Anna Schröfl HausJohann Kanstdorffer Haus	ir	pe__anna_SB_CD_00227	00227-eintrag_vom_1448-03-06.xml	1448-03-06
13	pl__wien-immo_kumphlukche_vor_kernertor_1	Konrad und Margarethe von Tyrna Haus	ir	pe__konrad_von_tierna_SB_CD_00228	00228-eintrag_vom_1448-04-22.xml	1448-04-22
14	pl__wien-immo_kumphlukche_vor_kernertor_1	Konrad und Margarethe von Tyrna Haus	ir	pe__margarethe_SB_CD_00228	00228-eintrag_vom_1448-04-22.xml	1448-04-22
15	pl__wien-immo_kumphlukche_vor_kernertor_2	Hainreichs Krumbnawer haus	Hainreichs Krumbnawer	pe__heinrich_krumauer_SB_CD_00228	00228-eintrag_vom_1448-04-22.xml	1448-04-22
16	pl__wien-immo_graben_1	Kaspar Hermann Haus	sein	pe__kaspar_hermann_SB_CD_00229	00229-eintrag_vom_1448-05-27.xml	1448-05-27
17	pl__wien-immo_graben_2	Stephan Auer Haus	Steffans Awer	pe__stephan_auer_SB_CD_00229	00229-eintrag_vom_1448-05-27.xml	1448-05-27
18	pl__wien-immo_fleischbaenke_1	Servatius und Dorothea Waczla Haus	ir	pe__servatius_waczla_SB_CD_00230	00230-eintrag_vom_1448-11-20.xml	1448-11-20
19	pl__wien-immo_fleischbaenke_1	Servatius und Dorothea Waczla Haus	ir	pe__dorothea_SB_CD_00230	00230-eintrag_vom_1448-11-20.xml	1448-11-20
20	pl__wien-immo_fleischbaenke_2	Michael Salzer Haus	Mathesen des Salczer	pe__matthias_salczer_QGW_II_II_2595	00230-eintrag_vom_1448-11-20.xml	1448-11-20
21	pl__wien-immo_scheffstrasse_1	Johann und Klara Tinpeck Haus	irm	pe__barbara_SB_CD_00231	00231-eintrag_vom_1448-09-20.xml	1448-09-20
22	pl__wien-immo_scheffstrasse_1	Johann und Klara Tinpeck Haus	irm	pe__klara_SB_CD_00231	00231-eintrag_vom_1448-09-20.xml	1448-09-20
23	pl__wien-immo_scheffstrasse_1	Johann und Klara Tinpeck Haus	irm	pe__jakob_SB_CD_00231	00231-eintrag_vom_1448-09-20.xml	1448-09-20
24	pl__wien-immo_scheffstrasse_2	Wolfgang von Asparn Haus	Wolfgangs von Asparn	pe__wolfgang_von_asparn_SB_CD_00231	00231-eintrag_vom_1448-09-20.xml	1448-09-20
25	pl__wien-immo_haarmarkt_1	Dorothea und Albrecht Liebhart Haus	ir	pe__dorothea_QGW_II_II_3262_a	00299-eintrag_vom_1448-07-08.xml	1448-07-08
26	pl__wien-immo_tiefer_graben_1	Dorothea und Pankraz Widmer Haus	irm	pe__dorothea_QGW_II_II_3264	00300-eintrag_vom_1448-08-05.xml	1448-08-05
27	pl__wien-immo_tiefer_graben_2	Thomas Trager Haus	Thomans Trager	pe__thomas_trager_QGW_II_II_3264	00300-eintrag_vom_1448-08-05.xml	1448-08-05
28	pl__wien-immo_tiefer_graben_3	Egidius Zimmermann Haus	Giligen des Zimermans	pe__gilg_zimmermann_QGW_II_II_3264	00300-eintrag_vom_1448-08-05.xml	1448-08-05
29	pl__wien-immo_hoher_markt_1	Elisabeth und Stephan Goltpach Haus	ir	pe__elisabeth_SB_CD_00349	00349-eintrag_vom_1448-02-22.xml	1448-02-22
30	pl__wien-immo_hoher_markt_2	Steffans Fúgenstaler haus	Steffans Fúgenstaler	pe__stephan_fuegenstaler_SB_CD_00349	00349-eintrag_vom_1448-02-22.xml	1448-02-22
31	pl__wien-immo_weidenstrasse_1	Elisabth Hubner (vormals Linczer) Haus	ir	pe__elisabeth_SB_CD_00351	00351-eintrag_vom_1448-11-29.xml	1448-11-29
32	pl__wien-immo_weidenstrasse_2	Petern des Letzelter haws	Petern des Letzelter	pe__peter_letzelter_SB_CD_00351	00351-eintrag_vom_1448-11-29.xml	1448-11-29
33	pl__wien-immo_moering_unter_den_schlossern_am_graben_1	Friedrich im Hof, der Schlosser, Haus	sein	pe__friedrich_im_hof_QGW_II_II_3172	00406-eintrag_vom_1448-05-31.xml	1448-05-31
34	pl__wien-immo_moering_unter_den_schlossern_am_graben_2	Niclasen Légler haus	Niclasen Légler	pe__niklas_legler_SB_CD_00406	00406-eintrag_vom_1448-05-31.xml	1448-05-31
35	pl__wien-immo_alserstrasse_vor_schottentor_1	Johann Auer Haus	sein	pe__johann_auer_SB_CD_00604	00604-eintrag_vom_1448-02-24.xml	1448-02-24
36	pl__wien-immo_alserstrasse_vor_schottentor_2	Niclasen Pernharts des Fürer haws	Niclasen Pernharts des	pl__wien-immo_alserstrasse_vor_schottentor_2	00604-eintrag_vom_1448-02-24.xml	1448-02-24
37	pl__wien-immo_laimgrub_vor_widmertor_1	Johann Weinperger Haus	sein	pe__johann_weinperger_QGW_II_II_2373	00605-eintrag_vom_1448-03-04.xml	1448-03-04
38	pl__wien-immo_laimgrub_vor_widmertor_1	Johann Weinperger Haus	Jorgen des Salczer	pe__georg_salczer_SB_CD_00605	00605-eintrag_vom_1448-03-04.xml	1448-03-04
39	pl__wien-immo_salzgries_1	Johann Würer Haus	sein	pe__johann_wuerer_QGW_II_II_2993	00606-eintrag_vom_1448-04-03.xml	1448-04-03
40	pl__wien-immo_salzgries_2	Liebhard Weiss Haus	Liepharts Weissen	pe__liebhard_weiss_SB_CD_00606	00606-eintrag_vom_1448-04-03.xml	1448-04-03
41	pl__wien-immo_alserstrasse_vor_schottentor_4	Johann und Katharina Spannberger Haus	irm	pe__johann_spannberger_QGW_II_II_3245	00607-eintrag_vom_1448-03-13.xml	1448-03-13
42	pl__wien-immo_alserstrasse_vor_schottentor_4	Johann und Katharina Spannberger Haus	irm	pe__katharina_SB_CD_00607	00607-eintrag_vom_1448-03-13.xml	1448-03-13
43	pl__wien-immo_kohlmarkt_1	Johann und Barbara Unverdrossen (halbes) Haus (mit Zugehorung), vormals Jakob von Brünn des schneider Haus	irm	pe__barbara_SB_CD_00613	00608-eintrag_vom_1448-04-29.xml	1448-04-29
44	pl__wien-immo_kohlmarkt_1	Johann und Barbara Unverdrossen (halbes) Haus (mit Zugehorung), vormals Jakob von Brünn des schneider Haus	irm	pe__johann_unverdrossen_SB_CD_00613	00608-eintrag_vom_1448-04-29.xml	1448-04-29
45	pl__wien-immo_kohlmarkt_2	Johann Schuchl des goldschmieds Haus	Hannsen Schúchl des	pe__johann_schuchl_SB_CD_00617	00608-eintrag_vom_1448-04-29.xml	1448-04-29
46	pl__wien-immo_alter_fleischmarkt_6	Heinrich Rigel Haus	sein	pl__wien-immo_alter_fleischmarkt_6	00609-eintrag_vom_1448-05-06.xml	1448-05-06
47	pl__wien-immo_schulstrasse_vordere_1	Johann und Dorothea Ofner halbes Haus	irm	pe__johann_ofner_QGW_II_II_3171	00610-eintrag_vom_1448-05-29.xml	1448-05-29
48	pl__wien-immo_schulstrasse_vordere_1	Johann und Dorothea Ofner halbes Haus	irm	pe__dorothea_SB_CD_00610	00610-eintrag_vom_1448-05-29.xml	1448-05-29
49	pl__wien-immo_schulstrasse_vordere_2	Peter Engelhartsstetter Haus	Petern Engelharsteter	pe__peter_engelhartsstetter_QGW_II_II_3111	00610-eintrag_vom_1448-05-29.xml	1448-05-29
50	pl__wien-immo_st_johannsstrasse_2	Johann und Agnes Teuffenpekch Haus	ir	pe__johann_teuffenpekch_SB_CD_00611	00611-eintrag_vom_1448-06-21.xml	1448-06-21
51	pl__wien-immo_st_johannsstrasse_2	Johann und Agnes Teuffenpekch Haus	ir	pe__agnes_SB_CD_00611	00611-eintrag_vom_1448-06-21.xml	1448-06-21
