	mainorg	org	name_reg | name_orig	type	observance	linking	role	event	xml	date	text	text normed
0	org__wien-st_agnes_auf_der_himmelpforte	org__wien-st_agnes_auf_der_himmelpforte-altar_dreikoenige	Dreikönigsaltar | 	Altar	 	corresp	recipient	ev__haus_huehnergesslein_1_burgrecht_1	00054-eintrag_vom_1448-06-10.xml	1448-06-10	caplan	Kaplan
1	org__wien	org__wien	Wien | 	Stadt	 	corresp	recipient	ev__SB_CD_00054	00054-eintrag_vom_1448-06-10.xml	1448-06-10	rats	Ratsherr
2	org__wien-st_stephan	org__wien-st_stephan-altar_allerheiligen-messe_sindram	Sindrammesse | 	Messe	 	corresp	recipient	NULL	00229-eintrag_vom_1448-05-27.xml	1448-05-27	capplan	 
3	org__wien-st_stephan	org__wien-st_stephan-altar_allerheiligen-messe_sindram	Sindrammesse | 	Messe	 	corresp	recipient	NULL	00229-eintrag_vom_1448-05-27.xml	1448-05-27	verweser	Verweser
4	org__wien-st_johann_in_der_siechenals	org__wien-st_johann_in_der_siechenals-altar_st_maria-messe_flekch	Flekchmesse | 	Altar	 	corresp	recipient	ev__SB_CD_00231	00231-eintrag_vom_1448-09-20.xml	1448-09-20	caplan	Kaplan
5	org__wien-st_stephan	org__wien-st_stephan-altar_frauen-messe_flusthart	Flusthartmesse | 	Messe	 	corresp	recipient	NULL	00299-eintrag_vom_1448-07-08.xml	1448-07-08	verweser	Verweser
6	org__wien-buergerspital	org__wien-buergerspital	Wiener Bürgerspital | 	Spital_Siechenhaus	 	ref	recipient	NULL	00300-eintrag_vom_1448-08-05.xml	1448-08-05	Burgerspital	 
7	org__wien-st_stephan	org__wien-st_stephan-kapelle_herzog-altar_st_blasius-messe_graf	Grafmesse | 	Messe	 	corresp	recipient	ev__QGW_II_II_3264	00300-eintrag_vom_1448-08-05.xml	1448-08-05	kaplan	Kaplan
8	org__wien-zeche_schuster	org__wien-zeche_schuster	 | Schusterzech zu Wienn	Zeche_Bruderschaft	 	ref	recipient	NULL	00349-eintrag_vom_1448-02-22.xml	1448-02-22	zechmaistern der Schusterzech zu Wienn	 
9	org__wien	org__wien	Wien | 	Stadt	 	corresp	recipient	ev__SB_CD_00406	00406-eintrag_vom_1448-05-31.xml	1448-05-31	rats der stat	Ratsherr
10	org__wien-st_johann_in_der_siechenals	org__wien-st_johann_in_der_siechenals	St. Johannes in der Siechenals | 	Kirche_Kapelle	 	corresp	recipient	NULL	00604-eintrag_vom_1448-02-24.xml	1448-02-24	pfarrer	Pfarrer
11	org__wien-st_michael	org__wien-st_michael-altar_gottesleichnam-messe_eslarn	 | Elsarnmesse	Messe	 	ref	recipient	NULL	00605-eintrag_vom_1448-03-04.xml	1448-03-04	zu der ewigen mess, so die von · Eslorn auf Gotsleichnams altar zu Sand Michel gestifft habent	 
12	org__wien	org__wien	Wien | 	Stadt	 	corresp	issuer	ev__SB_CD_00606	00606-eintrag_vom_1448-04-03.xml	1448-04-03	vorsprech	Vorsprech
13	org__wien-st_niklas_vor_dem_stubentor_zisterzienserinnen	org__wien-st_niklas_vor_dem_stubentor_zisterzienserinnen-messe_peter_chorherr_von_st_stephan	 | mess die weilent her Peter korherr zu Sand Steffan pharrer zu Wurnitz in Sand Niclas kloster vor Stubentor gestifft hat	Messe	 	corresp	recipient	ev__SB_CD_00606_men_1	00606-eintrag_vom_1448-04-03.xml	1448-04-03	caplan	Kaplan
