	Person	sex	off	normed	Related Person	rel_sex	xml	Year	Date	from	to
0	pe__simon_pirkwicz_SB_CD_00054	m	caplan	Kaplan	org__wien-st_agnes_auf_der_himmelpforte-altar_dreikoenige	 	00054-eintrag_vom_1448-06-10.xml	1448	1448-06-10		
1	pe__andreas_hiltprant_QGW_II_II_2576	m	rats	Ratsherr	org__wien	 	00054-eintrag_vom_1448-06-10.xml	1448	1448-06-10		
2	pe__lorenz_rasko_SB_CD_00229	m	capplan	 	org__wien-st_stephan-altar_allerheiligen-messe_sindram	 	00229-eintrag_vom_1448-05-27.xml	1448	1448-05-27		
3	pe__lorenz_rasko_SB_CD_00229	m	verweser	Verweser	org__wien-st_stephan-altar_allerheiligen-messe_sindram	 	00229-eintrag_vom_1448-05-27.xml	1448	1448-05-27		
4	pe__niklas_kiliber_SB_CD_00231	m	caplan	Kaplan	org__wien-st_johann_in_der_siechenals-altar_st_maria-messe_flekch	 	00231-eintrag_vom_1448-09-20.xml	1448	1448-09-20		
5	pe__johann_meczinger_SB_CD_00623	m	verweser	Verweser	org__wien-st_stephan-altar_frauen-messe_flusthart	 	00299-eintrag_vom_1448-07-08.xml	1448	1448-07-08		
6	pe__michael_grashover_QGW_II_II_3264	m	kaplan	Kaplan	org__wien-st_stephan-kapelle_herzog-altar_st_blasius-messe_graf	 	00300-eintrag_vom_1448-08-05.xml	1448	1448-08-05		
7	pe__georg_epishauser_QGW_II_II_3353	m	rats der stat	Ratsherr	org__wien	 	00406-eintrag_vom_1448-05-31.xml	1448	1448-05-31		
8	pe__wolfgang_QGW_II_II_3724	m	pfarrer	Pfarrer	org__wien-st_johann_in_der_siechenals	 	00604-eintrag_vom_1448-02-24.xml	1448	1448-02-24		
9	pe__johann_wuerer_QGW_II_II_2993	m	vorsprech	Vorsprech	org__wien	 	00606-eintrag_vom_1448-04-03.xml	1448	1448-04-03		
10	pe__johann_resch_SB_CD_00606	m	caplan	Kaplan	org__wien-st_niklas_vor_dem_stubentor_zisterzienserinnen-messe_peter_chorherr_von_st_stephan	 	00606-eintrag_vom_1448-04-03.xml	1448	1448-04-03		
11	pe__heinrich_hulger_QGW_II_II_3573	m	pharrer	Pfarrer	org__stamhaim-pfarre	 	00606-eintrag_vom_1448-04-03.xml	1448	1448-04-03		
12	pe__jakob_moshaimer_QGW_II_II_3245	m	caplan	Kaplan	org__wien-st_stephan-altar_st_veit-messe_kienmarkt	 	00607-eintrag_vom_1448-03-13.xml	1448	1448-03-13		
13	pe__georg_schrot_QGW_II_II_3733	m	kapplan	 	org__wien-st_peter	 	00608-eintrag_vom_1448-04-29.xml	1448	1448-04-29		
14	pe__georg_schrot_QGW_II_II_3733	m	verweser	Verweser	org__wien-st_peter-altar_st_maria-messe_chastner	 	00608-eintrag_vom_1448-04-29.xml	1448	1448-04-29		
15	pe__konrad_mospach_SB_CD_00608	m	prior	Prior_in	org__wien-minoriten	 	00608-eintrag_vom_1448-04-29.xml	1448	1448-04-29		
16	pe__georg_schuchler_QGW_II_II_3272	m	statrichter	Richter	org__wien	 	00609-eintrag_vom_1448-05-06.xml	1448	1448-05-06		
17	pe__niklas_zinkk_SB_CD_00610	m	pharrer	Pfarrer	org__friedberg-pfarre	 	00610-eintrag_vom_1448-05-29.xml	1448	1448-05-29		
18	pe__heinrich_senftleben_QGW_II_II_3263	m	obristen caplan	 	org__wien-st_maria_im_rathaus	 	00612-eintrag_vom_1448-07-10.xml	1448	1448-07-10		
19	pe__georg_schrot_QGW_II_II_3733	m	pharrer	Pfarrer	org__mannswoerth-pfarre	 	00613-eintrag_vom_1448-07-17.xml	1448	1448-07-17		
20	pe__georg_schrot_QGW_II_II_3733	m	obristen caplan	 	org__wien-st_peter	 	00613-eintrag_vom_1448-07-17.xml	1448	1448-07-17		
21	pe__georg_schrot_QGW_II_II_3733	m	verweser	Verweser	org__wien-st_peter-altar_st_maria-messe_chastner	 	00613-eintrag_vom_1448-07-17.xml	1448	1448-07-17		
22	pe__johann_huber_SB_CD_00613	m	pharrer	Pfarrer	org__himberg-pfarre	 	00613-eintrag_vom_1448-07-17.xml	1448	1448-07-17		
23	pe__johann_huber_SB_CD_00613	m	caplan	Kaplan	org__wien-st_michael-altar_gottesleichnam-messe_eslarn	 	00613-eintrag_vom_1448-07-17.xml	1448	1448-07-17		
24	pe__johann_wuerer_QGW_II_II_2993	m	vorsprech	Vorsprech	org__wien	 	00614-eintrag_vom_1448-07-29.xml	1448	1448-07-29		
25	pe__thomas_hadmar_SB_CD_00616	m	techant	 	org__wien-st_stephan	 	00616-eintrag_vom_1448-07-19.xml	1448	1448-07-19		
26	pe__thomas_hadmar_SB_CD_00616	m	kaplan	Kaplan	org__wien-st_stephan-kapelle_st_achatius	 	00616-eintrag_vom_1448-07-19.xml	1448	1448-07-19		
