	ID	name	reg	orig	type	linking	function	event	collection	xml	date	note	latlng	authority
0	pl__wien-altdonau		Altdonau	 	street	corresp	None	None	Vienna_1448	3237.xml	[datetime.date(1448, 1, 20), '1448']	 	 	 
1	pl__wien-immo_rennweg_1		 	drei Achtel Weingarten am Rennweg	immo	ref	transactiongood_I	ev__QGW_II_II_3237	Vienna_1448	3237.xml	[datetime.date(1448, 1, 20), '1448']	 	 	 
2	pl__wien-rennweg		Rennweg vor Stubentor (III. Bezirk)	 	street	corresp	None	None	Vienna_1448	3237.xml	[datetime.date(1448, 1, 20), '1448']	 	48.196 16.38656	https://www.geonames.org/11468284/wien-rennweg-bahnhof.html
3	pl__wien-immo_rennweg_1		 	drei Achtel Weingarten am Rennweg	immo	ref	transactiongood_I	NULL	Vienna_1448	3237.xml	[datetime.date(1448, 1, 20), '1448']	 	 	 
4	pl__wien-immo_kaerntnerstrasse_4		Flöderl Haus	 	immo	ref	transactiongood_I	ev__QGW_II_II_3238_men_1	Vienna_1448	3238.xml	[datetime.date(1448, 2, 9), '1448']	 	 	 
5	pl__wien-kaerntnerstrasse		Kärntnerstrasse (I.Bezirk)	Kernerstrass	street	corresp	None	None	Vienna_1448	3238.xml	[datetime.date(1448, 2, 9), '1448']	 	48.20521 16.37104	https://www.geonames.org/12232635/kaerntner-strasse.html
6	pl__aachen		Aachen	Ach; Aiche	settlement	corresp	None	None	Vienna_1448	3239.xml	[datetime.date(1448, 2, 13), '1448']		50.77664 6.08342	https://www.geonames.org/3247449/aachen.html
7	pl__wien-immo_setzen_obere_vor_stubentor_1		 	Michael Oberndorfer Achteil Weingarten	immo	ref	transactiongood_I	ev__QGW_II_II_3240	Vienna_1448	3240.xml	[datetime.date(1448, 2, 14), '1448']	 	 	 
8	pl__wien-setzen_obere_vor_stubentor		in den oberen Saetzen vor Stubentor	 	street	corresp	None	None	Vienna_1448	3240.xml	[datetime.date(1448, 2, 14), '1448']	 	 	 
9	pl__wien-immo_setzen_obere_vor_stubentor_2		 	Johann Smogel Vierteil Weingarten	immo	corresp	None	None	Vienna_1448	3240.xml	[datetime.date(1448, 2, 14), '1448']	 	 	 
10	pl__wien-immo_setzen_obere_vor_stubentor_2		 	Johann Smogel Vierteil Weingarten	immo	ref	None	None	Vienna_1448	3240.xml	[datetime.date(1448, 2, 14), '1448']	 	 	 
11	pl__wien-immo_praitten_2		Niclasen, des maurer, und Kathrein anderthalb achtail Weingarten	 	immo	ref	transactiongood_I	ev__QGW_II_II_3240	Vienna_1448	3240.xml	[datetime.date(1448, 2, 14), '1448']	 	 	 
12	pl__wien-praitten		auf der Praitten (III. Bezirk)	 	street	corresp	None	None	Vienna_1448	3240.xml	[datetime.date(1448, 2, 14), '1448']	 	 	 
13	pl__wien-immo_praitten_4		 	Mertten des Litschauer von Erdpurkch weingarten	immo	corresp	None	None	Vienna_1448	3240.xml	[datetime.date(1448, 2, 14), '1448']	 	 	 
