	ID	name_reg | name_orig	type	number	ref_count	corresp_count	xml	year
0	pl__wien-immo_schaufllucken_2	Jakob von Brunn, der schneider, Haus |  	immo	2	1	1	3261.xml, 3261.xml	[datetime.date(1448, 7, 8), '1448'], [datetime.date(1448, 7, 8), '1448']
1	pl__wien-immo_geraeut_vor_stubentor_2	Leonhard Stengel Haus |  	immo	1	1	0	3245.xml	[datetime.date(1448, 3, 14), '1448']
2	pl__wien-immo_setzen_niedere_vor_stubentor_4	  | Thomas Mairl Vierteil Weingarten	immo	1	1	0	3240.xml	[datetime.date(1448, 2, 14), '1448']
3	pl__wien-immo_weidenstrasse_4	Albrecht Ladner Haus |  	immo	2	1	1	01242-eintrag_vom_1448-11-15.xml, 01242-eintrag_vom_1448-11-15.xml	['1448-11-15'], ['1448-11-15']
4	pl__wien-immo_krafthof_2	Johann Nagler Haus |  	immo	2	1	1	01434-eintrag_vom_1448-06-14.xml, 01434-eintrag_vom_1448-06-14.xml	['1448-06-14'], ['1448-06-14']
5	pl__wien-immo_mietstat_vor_kaerntnertor_1	Ulrich und Barbara Meichsner Haus; Haus an der Mietstat |  	immo	1	1	0	01840-eintrag_vom_1448-04-19.xml	['1448-04-19']
6	pl__wien-immo_walichstrasse_2	Johann Peinhekchl des brunner Haus |  	immo	2	1	1	01147-eintrag_vom_1448-04-29.xml, 01147-eintrag_vom_1448-04-29.xml	['1448-04-29'], ['1448-04-29']
7	pl__wien-immo_siebenherbergen_vor_kaertnertor_1	Georg Krumpp, der binder, Haus und Garten daran |  	immo	3	2	1	00966-eintrag_vom_1448-06-07.xml, 00966-eintrag_vom_1448-06-07.xml, 00966-eintrag_vom_1448-06-07.xml	['1448-06-07'], ['1448-06-07'], ['1448-06-07']
8	pl__wien-immo_krafthof_1	Niklas Graefenauer Haus |  	immo	1	1	0	01434-eintrag_vom_1448-06-14.xml	['1448-06-14']
9	pl__wien-immo_setzen_obere_vor_stubentor_3	  | Thomas Sevelder Achteil Weingarten	immo	1	1	0	3240.xml	[datetime.date(1448, 2, 14), '1448']
