	mainorg	org	type	number	ref_count	corresp_count	xml	year
0	org__stamhaim-pfarre	org__stamhaim-pfarre	Pfarre	1	0	1	00606-eintrag_vom_1448-04-03.xml	1448-04-03
1	org__vorau-augustiner_chorherren	org__vorau-augustiner_chorherren	Kloster_m	1	1	0	00610-eintrag_vom_1448-05-29.xml	1448-05-29
2	org__wien-st_michael	org__wien-st_michael-altar_st_jakob-messe_lorberer	Messe	2	1	1	00619-eintrag_vom_1448-09-04.xml, 00619-eintrag_vom_1448-09-04.xml	1448-09-04, 1448-09-04
3	org__wien-zeche_schuster	org__wien-zeche_schuster	Zeche_Bruderschaft	1	1	0	00349-eintrag_vom_1448-02-22.xml	1448-02-22
4	org__wien-minoriten	org__wien-minoriten	Kloster_m	3	2	1	00608-eintrag_vom_1448-04-29.xml, 00608-eintrag_vom_1448-04-29.xml, 00613-eintrag_vom_1448-07-17.xml	1448-04-29, 1448-04-29, 1448-07-17
5	org__wien-st_stephan	org__wien-st_stephan-altar_allerheiligen-messe_chessler	Messe	2	1	1	00971-eintrag_vom_1448-12-16.xml, 00971-eintrag_vom_1448-12-16.xml	1448-12-16, 1448-12-16
6	org__wien-st_agnes_auf_der_himmelpforte	org__wien-st_agnes_auf_der_himmelpforte-altar_dreikoenige	Altar	1	0	1	00054-eintrag_vom_1448-06-10.xml	1448-06-10
7	org__friedberg-pfarre	org__friedberg-pfarre	Pfarre	1	0	1	00610-eintrag_vom_1448-05-29.xml	1448-05-29
8	org__riegersburg-pfarre	org__riegersburg-pfarre	 	1	0	1	00626-eintrag_vom_1448-12-20.xml	1448-12-20
9	org__wien-st_stephan	org__wien-st_stephan-altar_allerheiligen	Altar	1	1	0	00971-eintrag_vom_1448-12-16.xml	1448-12-16
10	org__gars-pfarre	org__gars-pfarre	Pfarre	1	0	1	01146-eintrag_vom_1448-04-12.xml	1448-04-12
11	org__wien-st_stephan	org__wien-st_stephan-altar_st_maria	Altar	2	2	0	00623-eintrag_vom_1448-12-13.xml, 01241-eintrag_vom_1448-06-21.xml	1448-12-13, 1448-06-21
12	org__wien-st_michael	org__wien-st_michael-altar_st_wolfgang-messe_reichel	Messe	2	1	1	00969-eintrag_vom_1448-10-30.xml, 00969-eintrag_vom_1448-10-30.xml	1448-10-30, 1448-10-30
13	org__wien-st_stephan	org__wien-st_stephan	Kirche_Kapelle	4	2	2	00616-eintrag_vom_1448-07-19.xml, 00624-eintrag_vom_1448-09-23.xml, 00970-eintrag_vom_1448-11-20.xml, 01434-eintrag_vom_1448-06-14.xml	1448-07-19, 1448-09-23, 1448-11-20, 1448-06-14
14	org__wien-st_georg_kapelle_bei_den_schotten	org__wien-st_georg_kapelle_bei_den_schotten-altar_st_maria	Kirche_Kapelle	1	1	0	01431-eintrag_vom_1448-07-08.xml	1448-07-08
15	org__wien-st_michael	org__wien-st_michael-altar_st_georg_und_st_erasmus	Altar	1	1	0	00626-eintrag_vom_1448-12-20.xml	1448-12-20
16	org__wien-st_stephan	org__wien-st_stephan-altar_st_maria-messe_flusthart	Messe	3	1	2	00299-eintrag_vom_1448-07-08.xml, 00623-eintrag_vom_1448-12-13.xml, 00623-eintrag_vom_1448-12-13.xml	1448-07-08, 1448-12-13, 1448-12-13
17	org__wien-st_michael	org__wien-st_michael-altar_st_georg_und_st_erasmus-messe_raklspurg	Messe	2	1	1	00626-eintrag_vom_1448-12-20.xml, 00626-eintrag_vom_1448-12-20.xml	1448-12-20, 1448-12-20
18	org__wien-st_michael	org__wien-st_michael-messe_jost_der_goldschmied	Messe	1	1	0	01147-eintrag_vom_1448-04-29.xml	1448-04-29
19	org__wien-st_michael	org__wien-st_michael-messe_otto_der_furer	Messe	1	1	0	01147-eintrag_vom_1448-04-29.xml	1448-04-29
20	org__wien-st_michael	org__wien-st_michael	Kirche_Kapelle	3	1	2	00618-eintrag_vom_1448-09-02.xml, 00969-eintrag_vom_1448-10-30.xml, 01147-eintrag_vom_1448-04-29.xml	1448-09-02, 1448-10-30, 1448-04-29
21	org__wien-st_stephan	org__wien-st_stephan-messe_purkhartsperger_heinrich	Messe	2	1	1	00624-eintrag_vom_1448-09-23.xml, 00624-eintrag_vom_1448-09-23.xml	1448-09-23, 1448-09-23
22	org__wien-st_niklas_vor_dem_stubentor_zisterzienserinnen	org__wien-st_niklas_vor_dem_stubentor_zisterzienserinnen-messe_peter_chorherr_von_st_stephan	Messe	1	0	1	00606-eintrag_vom_1448-04-03.xml	1448-04-03
23	org__wien-st_maria_im_rathaus	org__wien-st_maria_im_rathaus	Kirche_Kapelle	2	1	1	00612-eintrag_vom_1448-07-10.xml, 00612-eintrag_vom_1448-07-10.xml	1448-07-10, 1448-07-10
24	org__wien-st_stephan	org__wien-st_stephan-altar_st_maria-messe_albrecht_bucharzt	Messe	2	1	1	01241-eintrag_vom_1448-06-21.xml, 01241-eintrag_vom_1448-06-21.xml	1448-06-21, 1448-06-21
25	org__wien-st_michael	org__wien-st_michael-altar_st_jakob	Altar	1	1	0	00619-eintrag_vom_1448-09-04.xml	1448-09-04
26	org__wien-st_stephan	org__wien-st_stephan-kapelle_herzog-altar_st_blasius-messe_graf	Messe	2	1	1	00300-eintrag_vom_1448-08-05.xml, 00300-eintrag_vom_1448-08-05.xml	1448-08-05, 1448-08-05
27	org__wien-st_stephan	org__wien-st_stephan-altar_allerheiligen-messe_sindram	Messe	2	0	2	00229-eintrag_vom_1448-05-27.xml, 00229-eintrag_vom_1448-05-27.xml	1448-05-27, 1448-05-27
