	main_ID	ID	name_reg | name_orig	type	observance	linking	fn_role	event	collection	xml	date	text	text normed
0	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_101	1_1395-1400	101.xml	1397-01-09	gesworner	 
1	org__emmersdorf-pfarre	org__emmersdorf-pfarre	Emmersdorf | 	Pfarre	 	corresp	witness	ev__StB_I_102	1_1395-1400	102.xml	1397-01-13	pharrer	Pfarrer
2	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_103	1_1395-1400	103.xml	1397-01-23	rats	Ratsherr
3	org__wien-dominikaner	org__wien-dominikaner-messe_niklas_bader_stb_I_106	 | 	Messe	 	ref	recipient	ev__StB_I_106	1_1395-1400	106.xml	1397-01-23	hincz den Predigern	 
4	org__wien-karmeliter	org__wien-karmeliter-messe_niklas_bader_StB_I_106	 | 	Messe	 	ref	None	None	1_1395-1400	106.xml	1397-01-23	hincz den Weyssen prudern	 
5	org__wien-st_stephan	org__wien-st_stephan-jahrtag_gebhard_henikein_niklas_chamrer	Jahrtag für Gebhard Henikein, gestiftet von Niklas Chamrer | 	Messe	 	ref	recipient	ev__StB_I_108	1_1395-1400	108.xml	1397-02-08	jartag	 
6	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_108	1_1395-1400	108.xml	1397-02-08	rats	Ratsherr
7	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_108	1_1395-1400	108.xml	1397-02-08	rats	Ratsherr
8	org__sollenau-pfarre	org__sollenau-pfarre	Pfarre Sollenau | 	Pfarre	 	corresp	other	ev__StB_I_108	1_1395-1400	108.xml	1397-02-08	pharrer	Pfarrer
9	org__wien-st_stephan	org__wien-st_stephan-jahrtag_anna_irrensteigin	Jahrtagsstiftung der Anna Irrensteigin | 	Messe	 	ref	recipient	ev__StB_I_109	1_1395-1400	109.xml	1397-02-08	jartag	 
10	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_109	1_1395-1400	109.xml	1397-02-08	zu dem paw hincz Sand Stephann daselbs	 
11	org__wien-dominikaner	org__wien-dominikaner-jahrtag_anna_irrensteigin	Jahrtagsstiftung der Anna Irrensteigin | 	Messe	 	ref	recipient	ev__StB_I_109	1_1395-1400	109.xml	1397-02-08	jartag	 
12	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	witness	ev__StB_I_111	1_1395-1400	111.xml	1397-02-13	vikeri	 
13	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_113	1_1395-1400	113.xml	1397-02-15	zu dem paw hincz Sand Steffan ze Wienn	 
14	org__wien-st_stephan	org__wien-st_stephan-domkapitel	Domkapitel St. Stephan zu Wien | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_113	1_1395-1400	113.xml	1397-02-15	den herren daselbs	 
15	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	witness	ev__StB_I_113	1_1395-1400	113.xml	1397-02-15	leviten	 
16	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	other	ev__StB_I_113	1_1395-1400	113.xml	1397-02-15	echter	 
17	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	other	ev__StB_I_18	1_1395-1400	18.xml	1395-12-25	vikeri	 
18	org__wien-st_hiob_zum_klagbaum	org__wien-st_hiob_zum_klagbaum	St. Hiob-zum Klagbaum | 	Spital_Siechenhaus	 	ref	recipient	ev__StB_I_19	1_1395-1400	19.xml	1395-12-25	Chlagpawm	 
19	org__wien-st_johann_in_der_siechenals	org__wien-st_johann_in_der_siechenals	St. Johannes in der Siechenals | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_19	1_1395-1400	19.xml	1395-12-25	hincz Sand Johanns	 
20	org__wien-st_lazarus_siechenhaus	org__wien-st_lazarus_siechenhaus	St. Lazarus-Siechenhaus (St. Marx) | 	Spital_Siechenhaus	 	ref	recipient	ev__StB_I_19	1_1395-1400	19.xml	1395-12-25	hincz Sand Marx	 
