	ID	text	reg_name	sex	titles	titles_norm	titles_ref	titles_ref_norm	prof	prof_norm	staff	staff_norm	off	off_norm	off_corresp	fn_role	catchword	event_ref	collection	xml	date	from	to	dead	earliest possible death	year	fromyear	toyear
0	pe__niklas_teschler_QGW_II_II_2951	Niclas Teschler, statrichter zu Wienn	Niklas Teschler	m	 	 	 	 	 	 	 	 	statrichter	Richter_Stadt	org__wien	none	 	ev__QGW_II_II_2951	Vienna_1448	2951.xml	1448-11-04			False	 	1448		
1	pe__sophia_QGW_II_II_2951	fraun Sophein, Hainreichs des Weitracher seligen tochter und Hannsen des Scharner hausfrauen	Sophia Weitraherin Scharnerin	f	fraun	Frau	 	 	 	 	 	 	 	 	 	recipient	 	ev__QGW_II_II_2951	Vienna_1448	2951.xml	1448-11-04			False	 	1448		
2	pe__heinrich_weitraher_QGW_II_II_2951	Hainreichs des Weitracher seligen	Heinrich Weitraher	m	 	 	 	 	 	 	 	 	 	 	 	none	 	ev__QGW_II_II_2951	Vienna_1448	2951.xml	1448-11-04			True	1448-11-04	1448		
3	pe__johann_scharner_QGW_II_II_2951	Hannsen des Scharner	Johann Scharner	m	 	 	 	 	 	 	 	 	 	 	 	none	 	ev__QGW_II_II_2951	Vienna_1448	2951.xml	1448-11-04			False	 	1448		
4	pe__philipp_scharner_QGW_II_II_2951	Schwager den edeln Philipp Scharner, vertreten wird	Philipp Scharner	m	edeln	edel	 	 	 	 	 	 	 	 	 	recipient	 	ev__QGW_II_II_2951	Vienna_1448	2951.xml	1448-11-04			False	 	1448		
5	pe__johann_steger_QGW_II_II_3264	Hanns Steger, ritter burgermaister und münssmaister	Johann Steger	m	ritter	Ritter	 	 	 	 	 	 	burgermaister; münssmaister	Buergermeister; Muenzmeister	org__wien; org__oesterreich-herzogtum	issuer	 	ev__QGW_II_II_3236	Vienna_1448	3236.xml	1448-01-09			False	 	1448		
6	pe__albrecht_schweinbarther_QGW_II_II_3236	edeln vesten ritter hern Albrechten Sweinbarter	Albrecht Schweinbarter von Schweinbarth	m	edeln; vesten; ritter; hern	edel; festen; Ritter; Herr	 	 	 	 	 	 	 	 	 	recipient	 	ev__QGW_II_II_3236	Vienna_1448	3236.xml	1448-01-09			False	 	1448		
7	pe__stephan_weiss_QGW_II_II_3237	Stephan Weiss, gesessen zu Allttunau	Stephan Weiss gesessen zu Alttunau 	m	 	 	gesessen zu Allttunau	gesessen_zu	 	 	 	 	 	 	 	issuer	 	ev__QGW_II_II_3237	Vienna_1448	3237.xml	1448-01-20			False	 	1448		
8	pe__katharina_QGW_II_II_3237	Kathrei, sein hausfrau	Katharina Weissin 	f	 	 	 	 	 	 	 	 	 	 	 	issuer	 	ev__QGW_II_II_3237	Vienna_1448	3237.xml	1448-01-20			False	 	1448		
9	pe__wolfhard_resch_QGW_II_II_3237	Wiener Bürger Wolfharten Reschn	Wolfhard Resch 	m	 	 	Bürger	Buerger_in	 	 	 	 	 	 	 	recipient	 	ev__QGW_II_II_3237	Vienna_1448	3237.xml	1448-01-20			False	 	1448		
10	pe__stephan_weiss_QGW_II_II_3237	sie	Stephan Weiss gesessen zu Alttunau 	m	 	 	 	 	 	 	 	 	 	 	 	issuer	 	ev__QGW_II_II_3237	Vienna_1448	3237.xml	1448-01-20			False	 	1448		
11	pe__katharina_QGW_II_II_3237	sie	Katharina Weissin 	f	 	 	 	 	 	 	 	 	 	 	 	issuer	 	ev__QGW_II_II_3237	Vienna_1448	3237.xml	1448-01-20			False	 	1448		
