	collection	xml	date	event	catchwords	normed
0	Vienna_1448	2951.xml	1448-11-04	ev__QGW_II_II_2951	gestattet | den Verkauf	 
1	Vienna_1448	3236.xml	1448-01-09	ev__QGW_II_II_3236	stellen | aus	 
2	Vienna_1448	3237.xml	1448-01-20	ev__QGW_II_II_3237	übergeben | und erklären einen früher | ausgestellten Kaufbrief für ungiltig	 
3	Vienna_1448	3237.xml	1448-01-20	NULL	verpfändet und nicht ausgelöst haben	 
4	Vienna_1448	3238.xml	1448-02-09	ev__QGW_II_II_3238	theilt | mit	 
5	Vienna_1448	3238.xml	1448-02-09	ev__QGW_II_II_3238_men_1	ihren Antheil | übergeben habe	 
6	Vienna_1448	3239.xml	1448-02-13	ev__QGW_II_II_3239	beurkundet | ihm | verliehen haben | und verpflichtet sich	 
7	Vienna_1448	3240.xml	1448-02-14	ev__QGW_II_II_3240	setzt | in offenem Gericht über dessen Klage und nach einer | an die Gewere	 
8	Vienna_1448	3241.xml	1448-02-22	ev__QGW_II_II_3241	gibt seinen Einspruch dagegen | auf und überlässt | wogegen | zu ainer erstattung erhält	 
9	Vienna_1448	3242.xml	1448-02-22	ev__QGW_II_II_3242	verpflichtet sich für sich und seine Nachfolger | ordentlich zu verwalten, sie vierstund in der wochen zu lesen und die dazu gestifteten Weingärten | zu erhalten	 
10	Vienna_1448	3242.xml	1448-02-22	ev__QGW_II_II_3246	verliehen haben	 
11	Vienna_1448	3243.xml	1448-02-22	ev__QGW_II_II_3243	stellen | aus	 
12	Vienna_1448	3245.xml	1448-03-14	ev__QGW_II_II_3245	gibt | geltes purckrechts | abzulösen, und erklärt alle früheren, dieses Burgrecht betreffenden Urkunden für ungiltig	 
13	Vienna_1448	3245.xml	1448-03-14	NULL	gestifteten Messe	 
14	Vienna_1448	3245.xml	1448-03-14	NULL	geltes purckrechts gehabt hat	 
15	Vienna_1448	3245.xml	1448-03-14	NULL	neuerdings anlegt	 
16	Vienna_1448	3246.xml	1448-03-27	ev__QGW_II_II_3246	stiften | eine ewige Messe | Für diese | widmen sie	 
17	Vienna_1448	3246.xml	1448-03-27	NULL	je/arlich dint | zu gruntdinst	 
18	Vienna_1448	3246.xml	1448-03-27	NULL	alle jar dint	 
19	Vienna_1448	3246.xml	1448-03-27	NULL	alle jar dint	 
20	Vienna_1448	3246.xml	1448-03-27	NULL	alle jar dint	 
21	Vienna_1448	3246.xml	1448-03-27	NULL	alle jar dint	 
