	ID	sex	off	norm	related ID	rel_sex	collection	xml	year	date	from	to
0	pe__andreas_kuenringer_StB_I_101	m	gesworner	 	org__wien	 	1_1395-1400	101.xml	1397	1397-01-09		
1	pe__johann_von_emmersdorf_StB_I_432	m	pharrer	Pfarrer	org__emmersdorf-pfarre	 	1_1395-1400	102.xml	1397	1397-01-13		
2	pe__stephan_got_StB_I_102	m	richter	Richter	None	 	1_1395-1400	102.xml	1397	1397-01-13		
3	pe__berthold_lang_QGW_II_I_1488	m	rats	Ratsherr	org__wien	 	1_1395-1400	103.xml	1397	1397-01-23		
4	pe__johann_ziernast_QGW_II_I_1371	m	rats	Ratsherr	org__wien	 	1_1395-1400	108.xml	1397	1397-02-08		
5	pe__johann_rokk_QGW_II_I_1371	m	rats	Ratsherr	org__wien	 	1_1395-1400	108.xml	1397	1397-02-08		
6	pe__niklas_StB_I_108	m	pharrer	Pfarrer	org__sollenau-pfarre	 	1_1395-1400	108.xml	1397	1397-02-08		
7	pe__georg_StB_I_111	m	vikeri	 	org__wien-st_stephan	 	1_1395-1400	111.xml	1397	1397-02-13		
8	pe__thomas_StB_I_113	m	leviten	 	org__wien-st_stephan	 	1_1395-1400	113.xml	1397	1397-02-15		
9	pe__ulrich_StB_I_113	m	echter	 	org__wien-st_stephan	 	1_1395-1400	113.xml	1397	1397-02-15		
10	pe__johann_StB_I_18	m	vikeri	 	org__wien-st_stephan	 	1_1395-1400	18.xml	1395	1395-12-25		
11	pe__wolfhard_von_amstetten_QGW_II_I_925	m	urtailschreiber	Schreiber_Urteil	org__wien	 	1_1395-1400	2.xml	1395	1395-11-18		
12	pe__johann_prentschenk_QGW_II_I_1047	m	anwalt in des herczogen munzze	Muenzanwalt	org__oesterreich-herzogtum	 	1_1395-1400	211.xml	1391	1391-12-15		
13	pe__stephan_von_asbach_QGW_II_I_1437	m	echter	 	org__wien-st_stephan	 	1_1395-1400	213.xml	1391	1391-12-20		
14	pe__stephan_von_asbach_QGW_II_I_1437	m	curherr	Kanoniker	org__wien-st_stephan	 	1_1395-1400	214.xml	1391	1391-12-20		
15	pe__konrad_ymmawer_StB_I_217	m	rat	Ratsherr	org__wien	 	1_1395-1400	217.xml	1398	1398-01-10		
16	pe__pilgrim_drischler_QGW_II_I_1544	m	rat	Ratsherr	org__wien	 	1_1395-1400	217.xml	1398	1398-01-10		
17	pe__andreas_vischl_QGW_II_I_1089	m	dez rates ze Wienn	 	org__wien	 	1_1395-1400	25.xml	1396	1396-01-18		
18	pe__hermann_schiek_QGW_II_I_1353	m	spitalmaister	Spitalmeister	org__wien-buergerspital	 	1_1395-1400	29.xml	1396	1396-01-20		
19	pe__paul_StB_I_29	m	chaplän	 	org__wien-buergerspital	 	1_1395-1400	29.xml	1396	1396-01-20		
20	pe__martin_StB_I_29	m	chaplän	 	org__wien-buergerspital	 	1_1395-1400	29.xml	1396	1396-01-20		
21	pe__johann_StB_I_29	m	chuster	 	org__wien-buergerspital	 	1_1395-1400	29.xml	1396	1396-01-20		
22	pe__niklas_ratsmyd_StB_I_3	m	des rats ze Wienn	 	org__wien	 	1_1395-1400	3.xml	1395	1395-11-24		
23	pe__martin_StB_I_30	m	pharrer	Pfarrer	org__oberhautzental-pfarre	 	1_1395-1400	30.xml	1395		1395-01-01	1400-12-31
24	pe__johann_StB_I_35	m	kaplan	Kaplan	org__wien-st_peter	 	1_1395-1400	35.xml	1396	1396-02-19		
25	pe__michael_hoellen_StB_I_37	m	richter vor Widmertor ze Wienn	 	org__wien	 	1_1395-1400	37.xml	1396	1396-02-26		
26	pe__heinrich_duernpeckch_StB_I_37	m	schafffer	 	org__wien-st_martin_vor_dem_widmertor	 	1_1395-1400	37.xml	1396	1396-02-26		
27	pe__niklas_teuffentaler_StB_I_420	m	marstaller	 	pe__rudolf_iv_herzog_von_oesterreich_QGW_II_I_769	m	1_1395-1400	420.xml	1399	1399-09-16		
28	pe__martin_von_st_bernhard_StB_I_423	m	maister	Meister_in	org__st_bernhard-zisterzienserinnen	 	1_1395-1400	423.xml	1399	1399-09-16		
29	pe__laurenz_StB_I_425	m	>chappellan	 	kaplan??	 	1_1395-1400	425.xml	1399	1399-09-16		
30	pe__johann_rokk_QGW_II_I_1371	m	purgermaister	Buergermeister	org__wien	 	1_1395-1400	428.xml	1399	1399-09-26		
31	pe__michael_menschein_QGW_II_I_1218	m	rats	Ratsherr	org__wien	 	1_1395-1400	430.xml	1399	1399-09-27		
32	pe__konrad_hemler_QGW_II_I_1404	m	auzzern rats	 	org__wien	 	1_1395-1400	430.xml	1399	1399-09-27		
33	pe__johann_von_emmersdorf_StB_I_432	m	pharrer	Pfarrer	org__emmersdorf-pfarre	 	1_1395-1400	432.xml	1399	1399-06-18		
34	pe__martin_StB_I_432	m	pheiffer	 	pe__albrecht_iii_herzog_von_oesterreich_QGW_II_I_1020	m	1_1395-1400	432.xml	1399	1399-06-18		
35	pe__konrad_wolkersdorfer_QGW_II_I_1359	m	rats	Ratsherr	org__wien	 	1_1395-1400	436.xml	1395		1395-01-01	1400-12-31
36	pe__ulrich_reindl_QGW_II_I_1214	m	rats	Ratsherr	org__wien	 	1_1395-1400	436.xml	1395		1395-01-01	1400-12-31
37	pe__konrad_von_schonnau_QGW_II_I_818	m	kamerschreiber	Schreiber_Kammer	org__oesterreich-herzogtum	 	1_1395-1400	437.xml	1399	1399-10-10		
38	pe__johann_von_dietreichstokch_QGW_II_I_1028	m	forstmaister	Forstmeister	org__oesterreich-herzogtum	 	1_1395-1400	437.xml	1399	1399-10-10		
39	pe__balther_StB_I_444	m	schaffer	Schaffer	org__wien-augustiner_eremiten	 	1_1395-1400	444.xml	1399	1399-11-13		
